,Name,Description
10,Alpinia caerulea,"Alpinia caerulea, commonly known as native ginger or in the case of the subspecies from the Atherton Tableland red back ginger, is an understorey perennial herb to 3 m, growing under rainforest, gallery forest and wet sclerophyll forest canopy in eastern Australia.
Leaves are up to 40 cm long and 3–10 cm wide. The inflorescence is 10–30 cm long. The blue capsule is globose 1 cm across, with a brittle outer covering containing black seed and white pulp."
11,Alpinia galanga,"Alpinia galanga, a plant in the ginger family, bears a rhizome used largely as an herb in Unani medicine and as a spice in Arab cuisine and Southeast Asian cookery. It is one of four plants known as ""galangal"". Its common names include greater galangal, lengkuas, and blue ginger."
12,Alpinia nigra,"Alpinia nigra (synonyms  Alpinia allughas Retz. and Zingiber nigrum Gaertn.) is a medium-sized herb belonging to the ginger family. The rhizome is well known in many Asian cultures as a medicinal and culinary item. In many Asian tribal communities it is a part of the diet along with rice.
It is endemic to south-east Asia including Bhutan, China, India, Thailand, Bangladesh, Burma and Sri Lanka. In India it is found mainly in the hillocks and riversides of northeastern states such as Assam, Mizoram and Tripura."
13,Alpinia officinarum,"Alpinia officinarum, known as lesser galangal, is a plant in the ginger family, cultivated in Southeast Asia. It originated in China, where its name ultimately derives. It can grow 1.5 to 2 m high, with long leaves and reddish-white flowers. The rhizomes, known as galangal, are valued for their sweet spicy flavor and aromatic scent. These are used throughout Asia in curries and perfumes, and were previously used widely in Europe. They are also used as an herbal remedy."
14,Amchoor,"Amchoor or aamchur or amchur, also referred to as mango powder, is a fruity spice powder made from dried unripe green mangoes and is used as a citrusy seasoning. It is mostly produced in India and Pakistan, and is used to flavor foods and add the nutritional benefits of mangoes when the fresh fruit is out of season."
15,Amomum ovoideum,"Amomum ovoideum is a widespread shade-demanding rhizomatous herb of the ginger family (Zingiberaceae) native to Southeast Asia. The plant bears fruits up to 2 cm (0.79 in) long, covered by slender, soft, red spines. When dried, the fruit produces cardamom seedpods similar to other cardamom spice plants."
16,Angostura bitters,"Angostura bitters (English:  ) is a concentrated bitters (herbal alcoholic preparation) based on gentian, herbs, and spices, by House of Angostura in Trinidad and Tobago. It is typically used for flavouring beverages or, less often, food. The bitters were first produced in the town of Angostura (now Ciudad Bolívar, Venezuela), hence the name, but do not contain angostura bark. The bottle is recognisable by its distinctive oversized label. Angostura is Spanish for 'narrowing', the town of Angostura having been at the first narrowing of the Orinoco River.
Beverages named ""Angostura Bitter"" or ""Angobitter"" are also offered from other brands (e.g., Riemerschmid, Hemmeter). Unlike the House of Angostura product, they contain angostura bark, possibly to justify the use of the word ""Angostura"" in their names."
17,Anise,"Anise (; Pimpinella anisum), also called aniseed or rarely anix, is a flowering plant in the family Apiaceae native to Eurasia.
The flavor and aroma of its seeds have similarities with some other spices and herbs, such as star anise, fennel, licorice, and tarragon. It is widely cultivated and used to flavor food, candy, and alcoholic drinks, especially around the Mediterranean."
18,Annatto,"Annatto ( or ) is an orange-red condiment and food coloring derived from the seeds of the achiote tree (Bixa orellana), native to tropical America. It is often used to impart a yellow or orange color to foods, but sometimes also for its flavor and aroma. Its scent is described as ""slightly peppery with a hint of nutmeg"" and flavor as ""slightly nutty, sweet and peppery"".The color of annatto comes from various carotenoid pigments, mainly bixin and norbixin, found in the reddish waxy coating of the seeds. The condiment is typically prepared by grinding the seeds to a powder or paste. Similar effects can be obtained by extracting some of the color and flavor principles from the seeds with hot water, oil, or lard, which are then added to the food.Annatto and its extracts are now widely used in an artisanal or industrial scale as a coloring agent in many processed food products, such as cheeses, dairy spreads, butter and margarine, custards, cakes and other baked goods, potatoes, snack foods, breakfast cereals, smoked fish, sausages, and more. In these uses, annatto is a natural alternative to synthetic food coloring compounds, but it has been linked to rare cases of food-related allergies. Annatto is of particular commercial value in the United States because the Food and Drug Administration considers colorants derived from it to be ""exempt of certification""."
19,Asafoetida,"Asafoetida  (; also spelled asafetida)
is the dried latex (gum oleoresin) exuded from the rhizome or tap root of several species of Ferula, perennial herbs growing 1 to 1.5 m (3 to 5 ft) tall. They are part of the celery family, Umbelliferae. Asafoetida is thought to be in the same genus as silphium, a North African plant now believed to be extinct, and was used as a cheaper substitute for that historically important herb from classical antiquity. The species are native to the deserts of Iran and mountains of Afghanistan where substantial amounts are grown.Asafoetida has a pungent smell, as reflected in its name, lending it the trivial name of ""stinking gum"". The odor dissipates upon cooking; in cooked dishes, it delivers a smooth flavour reminiscent of leeks or other onion relatives. Asafoetida is also known colloquially as ""devil's dung"" in English (and similar expressions in many other languages)."
20,List of Australian herbs and spices,"Australian herbs and spices were used by Aboriginal peoples to flavour food in ground ovens. The term ""spice"" is applied generally to the non-leafy range of strongly flavoured dried Australian bushfoods. They mainly consist of aromatic fruits and seed products, although Australian wild peppers also have spicy leaves. There are also a few aromatic leaves but unlike culinary herbs from other cultures which often come from small soft-stemmed forbs, the Australian herb species are generally trees from rainforests, open forests and woodlands.
Australian herbs and spices are generally dried and ground to produce a powdered or flaked spice, either used as a single ingredient or in blends.
They were used to a limited extent by colonists in the 18th and 19th centuries. Some extracts were used as flavouring during the 20th century. Australian native spices have become more widely recognized and used by non-indigenous people since the early 1980s as part of the bushfood industry, with increasing gourmet use and export.They can also be used as a fresh product. Leaves can be used whole, like a bay-leaf in cooking, or spicy fruits are added to various dishes for flavour.
The distilled essential oils from leaves and twigs are also used as flavouring products."
21,Backhousia myrtifolia,"Backhousia myrtifolia (commonly referred to as carrol, neverbreak, iron wood, grey myrtle or cinnamon myrtle)  is a small rainforest tree species which grows in subtropical rainforests of Eastern Australia. First discovered and subsequently used by the indigenous communities of Australia, this plant produces oils that have a cinnamon-like aroma, and display both anti-bacterial and anti-fungal properties. Therefore, it has potential applications as not only a spice in food preparation, but also in the medical field as a treatment option for microbial infection. Backhousia myrtifolia can grow up to 30 metres. The leaves are ovate or elliptic, 4–7 cm long, and the flowers star-shaped in appearance.Backhousia Myrtifolia is renowned for the snow-white colour of its flowers, a characteristic that makes it suitable not only as a domestic/commercial crop but also as an internationally exported product. However, the susceptibility of this plant to ""post-harvest browning syndrome"" (a disease resulting in leaf discolouration and wilting), threatens its potential as a crop plant."
22,Balsam of Peru,"Balsam of Peru or Peru balsam, also known and marketed by many other names, is a balsam derived from a tree known as Myroxylon balsamum var. pereirae; it is found in El Salvador, where it is an endemic species.
Balsam of Peru is used in food and drink for flavoring, in perfumes and toiletries for fragrance, and in medicine and pharmaceutical items for healing properties.  It has a sweet scent. In some instances, balsam of Peru is listed on the ingredient label of a product by one of its various names, but it may not be required to be listed by its name by mandatory labeling conventions.
It can cause allergic reactions, with numerous large surveys identifying it as being in the ""top five"" allergens most commonly causing patch test reactions.  It may cause inflammation, redness, swelling, soreness, itching, and blisters, including allergic contact dermatitis, stomatitis (inflammation and soreness of the mouth or tongue), cheilitis (inflammation, rash, or painful erosion of the lips, oropharyngeal mucosa, or angles of the mouth), pruritus, hand eczema,  generalized or resistant plantar dermatitis, rhinitis, and conjunctivitis."
23,Beau Monde seasoning,"Beau Monde seasoning is a seasoning mixture. Basic versions are composed of salt, onion powder and celery powder. Some versions include additional ingredients such as garlic, clove, bay leaf, nutmeg, allspice, mace and others. The company Spice Islands manufactures a version of the seasoning and owns the trademark to the name.In French, beau monde means ""beautiful world""."
24,Berberis vulgaris,"Berberis vulgaris, also known as common barberry, European barberry or simply barberry, is a shrub in the genus Berberis native to the Old World. It produces edible but sharply acidic berries, which people in many countries eat as a tart and refreshing fruit."
25,Big Jim pepper,"The Big Jim pepper is a New Mexico chile pepper cultivar of the species Capsicum annuum with a Scoville rating of mild.  This cultivar is extensively grown in New Mexico where it was developed and is popular in New Mexican cuisine.  Big Jim peppers are both sweet and mild and are normally picked while still green.  The fruits are large and thick walled, often exceeding over a foot in length, and they are almost exclusively used to produce roasted green chile in New Mexican cuisine."
26,Bird's eye chili,"Bird's eye chili or Thai chili (Thai: prik ki nu, พริกขี้หนู, literally ""mouse dung chili"" owing to its shape) is a chili pepper, a variety from the species Capsicum annuum native to Mexico. Cultivated across Southeast Asia, it is used extensively in many Asian cuisines. It may be mistaken for a similar-looking chili derived from the species Capsicum frutescens, the cultivar ""siling labuyo"". Capsicum frutescens fruits are generally smaller and characteristically point upwards."
27,Black cardamom,"Amomum subulatum, also known as Black cardamom, hill cardamom, Bengal cardamom, greater cardamom, Indian cardamom, Nepal cardamom, winged cardamom, big cardamon, or brown cardamom, is a perennial herbaceous plant in the family Zingiberaceae. Its seed pods have a strong, camphor-like flavour, with a smoky character derived from the method of drying. In Hindi it is called बड़ी इलाइची (baḍī ilāicī)."
28,Boesenbergia rotunda,"Boesenbergia rotunda (Thai: กระชาย krachai, Khmer: ខ្ជាយ k'jeay, Indonesian: temu kunci), commonly known as Chinese keys, fingerroot, lesser galangal or Chinese ginger, is a medicinal and culinary herb from China and Southeast Asia. In English, the root has traditionally been called fingerroot, because the shape of the rhizome resembles that of fingers growing out of a center piece.
Fingerroot is a kind of ginger (Zingiberaceae). It is an annual crop and indigenous to southern Yunnan Province, China, to west Malaysia, growing in tropical rain forest. It has an underground stem, known as a rhizome. This spreads into many bunches in the same way as banana, ginger, galangal and turmeric. These structures accumulate nutrients and the middle part is more swollen than the head and bottom part. The inner part has a range of colours and aromas depending on the variety of fingerroot. The above-ground part is composed of a leaf stalk that has a sheath covering it. The leaf sheaths are red, the blades are oval in shape and the apex of leaves are sharp. Chinese ginger is a herbaceous plant with a height of 61–91 centimetres (2–3 ft). The leaf is about 50 cm (20 in) long and 12 cm (4.7 in) wide. The middle of the petioles are deeply grooved. The flower appears between the leaf sheaths at the bottom of the trunk. The petals are white or light pink. Flowers bloom one at a time."
29,Brassica nigra,"Brassica nigra, or black mustard, is an annual plant cultivated for its dark-brown-to-black seeds, which are commonly used as a spice. It is native to tropical regions of North Africa, temperate regions of Europe, and parts of Asia."
30,Bunium bulbocastanum,"Bunium bulbocastanum is a plant species in the family Apiaceae. 
It was once used as a root vegetable in parts of western Europe, and has been called great pignut or earthnut."
31,Bunium luristanicum,"Bunium luristanicum is a species of flowering plant in the family Apiaceae described by Karl Heinz Rechinger. Bunium luristanicum is placed in the family Apiaceae. For this species, no subspecies are listed in the Catalogue of Life. It is found in western and southwestern Iran.


== References =="
32,Burlap & Barrel,"Burlap & Barrel is an American spice importer that sources sustainable, single-origin spices directly from farmers and foragers. It is a public benefit corporation."
33,Camphor,"Camphor () is a waxy, flammable, transparent solid with a strong aroma. It is a terpenoid with the chemical formula C10H16O.  It is found in the wood of the camphor laurel (Cinnamomum camphora), a large evergreen tree found in East Asia; and in the kapur tree (Dryobalanops sp.), a tall timber tree from South East Asia. It also occurs in some other related trees in the laurel family, notably Ocotea usambarensis. Rosemary leaves (Rosmarinus officinalis) contain 0.05 to 0.5% camphor, while camphorweed (Heterotheca) contains some 5%. A major source of camphor in Asia is camphor basil (the parent of African blue basil). Camphor can also be synthetically produced from oil of turpentine.
The molecule has two possible enantiomers as shown in the structural diagrams. The structure on the left is the naturally occurring (+)-camphor ((1R,4R)-bornan-2-one), while its mirror image shown on the right is the (−)-camphor ((1S,4S)-bornan-2-one).
Camphor is used for its scent, as an embalming fluid, as topical medication, as a manufacturing chemical, and in religious ceremonies."
34,Camphora officinarum,"Camphora officinarum is a species of evergreen tree that is commonly known under the names camphor tree, camphorwood or camphor laurel."
35,Candy cap,"Candy cap or curry milkcap is the English-language common name for several closely related edible species of Lactarius; L. camphoratus, L. fragilis, and L. rubidus. These mushrooms are valued for their highly aromatic qualities and are used culinarily as a flavoring rather than as a constituent of a full meal."
36,Canella,"Canella is a monospecific genus containing the species Canella winterana, a tree native to the Caribbean from the Florida Keys to Barbados. Its bark is used as a spice similar to cinnamon, giving rise to the common names cinnamon bark, wild cinnamon, and white cinnamon.The wood of Canella is very heavy and exceedingly hard, strong, and close-grained, with numerous thin, inconspicuous medullary rays; it is dark red-brown, and the thick sapwood consists of 25 to 30 layers of annual growth, light brown or yellow in color. The specific gravity of the absolutely dry wood grown in Florida is 0.9893; a cubic foot of the dry wood weighs 61.65 pounds.Canella attains in Florida a height of 25 to 30 feet, with a straight trunk eight to 10 inches in diameter. On the mountains of Jamaica, it is said to grow sometimes to the height of 50 feet. The principal branches are slender, horizontal, and spreading, forming a compact round-headed top. The light gray bark of the trunk is an eighth of an inch thick, the surface is broken into many short thick scales rarely more than 2-3 in long, and about twice the thickness of the pale yellow, aromatic inner bark. The leaves are obovate, round or slightly emarginate at the apex, and contracted into a short, stout, grooved petiole; they are 3.5-5.0 in long, 1.5-2.0 in broad, bright deep green, and lustrous. The flowers open in the autumn, and the fruit ripens in March and April, when it is bright crimson, soft, and fleshy, and is eaten by many birds."
37,Caper,"Capparis spinosa, the caper bush, also called Flinders rose, is a perennial plant that bears rounded, fleshy leaves and large white to pinkish-white flowers.The plant is best known for the edible flower buds (capers), used as a seasoning or garnish, and the fruit (caper berries), both of which are usually consumed salted or, alternatively, pickled. Other species of Capparis are also picked along with C. spinosa for their buds or fruits. Other parts of Capparis plants are used in the manufacture of medicines and cosmetics.
Capparis spinosa is native to almost all the circum-Mediterranean countries, and is included in the flora of most of them, but whether it is indigenous to this region is uncertain. The family Capparaceae could have originated in the tropics, and later spread to the Mediterranean basin.The taxonomic status of the species is controversial and unsettled. Species within the genus Capparis are highly variable, and interspecific hybrids have been common throughout the evolutionary history of the genus. As a result, some authors have considered C. spinosa to be composed of multiple distinct species, others that the taxon is a single species with multiple varieties or subspecies, or that the taxon C. spinosa is a hybrid between C. orientalis and C. sicula."
38,Caraway,"Caraway, also known as meridian fennel and Persian cumin (Carum carvi), is a biennial plant in the family Apiaceae, native to western Asia, Europe, and North Africa."
39,Cardamom,"Cardamom (), sometimes cardamon or cardamum, is a spice made from the seeds of several plants in the genera Elettaria and Amomum in the family Zingiberaceae. Both genera are native to the Indian subcontinent and Indonesia. They are recognized by their small seed pods: triangular in cross-section and spindle-shaped, with a thin, papery outer shell and small, black seeds; Elettaria pods are light green and smaller, while Amomum pods are larger and dark brown.
Species used for cardamom are native throughout tropical and subtropical Asia. The first references to cardamom are found in Sumer, and in the Ayurvedic literatures of India. Nowadays it is also cultivated in Guatemala, Malaysia, and Tanzania. The German coffee planter Oscar Majus Klöffer introduced Indian cardamom to cultivation in Guatemala before World War I; by 2000, that country had become the biggest producer and exporter of cardamom in the world, followed by India."
40,Carissa carandas,"Carissa carandas is a species of flowering shrub in the family Apocynaceae. It produces berry-sized fruits that are commonly used as a condiment in Indian pickles and spices. It is a hardy, drought-tolerant plant that thrives well in a wide range of soils. Common names in English include Bengal currant, Christ's thorn, carandas plum, karonda and karanda.The supposed varieties congesta and paucinervia refer to the related conkerberry (C. spinarum)."
41,Catechu,"Catechu ( or ) is an extract of acacia trees used variously as a food additive, astringent, tannin, and dye.  It is extracted from several species of Acacia, but especially Senegalia catechu (Acacia catechu), by boiling the wood in water and evaporating the resulting brew. It is also known as cutch, black cutch, cachou, cashoo, terra Japonica, or Japan earth, and also katha in Hindi, kaath in Marathi, khaira in Odia, khoyer in Assamese and Bengali, and kachu in Malay (hence the Latinized Acacia catechu chosen as the Linnaean taxonomy name of the type-species Acacia plant which provides the extract)."
42,Cayenne pepper,"The cayenne pepper is a type of Capsicum annuum. It is usually a moderately hot chili pepper used to flavor dishes. Cayenne peppers are a group of tapering, 10 to 25 cm long, generally skinny, mostly red-colored peppers, often with a curved tip and somewhat rippled skin, which hang from the bush as opposed to growing upright. Most varieties are generally rated at 30,000 to 50,000 Scoville units.The fruits are generally dried and ground to make the powdered spice of the same name, although cayenne powder may be a blend of different types of peppers, quite often not containing cayenne peppers, and may or may not contain the seeds.Cayenne is used in cooking spicy dishes either as a powder or in its whole form. It is also used as an herbal supplement."
43,Celery,"Celery (Apium graveolens) is a marshland plant in the family Apiaceae that has been cultivated as a vegetable since antiquity. Celery has a long fibrous stalk tapering into leaves. Depending on location and cultivar, either its stalks, leaves or hypocotyl are eaten and used in cooking.  Celery seed powder is used as a spice."
44,Celery powder,"Celery powder is a dried, ground concentrate prepared from fresh celery that is used as a seasoning and as a food preservative in organic meat products. Several commercial preparations exist, and it can also be made using a food dehydrator. Some celery powders are prepared from celery juice."
45,Chicory,"Common chicory (Cichorium intybus) is a somewhat woody, perennial herbaceous plant of the family Asteraceae, usually with bright blue flowers, rarely white or pink. Native to the Old World, it has been introduced to North America and Australia. Many varieties are cultivated for salad leaves, chicons (blanched buds), or roots (var. sativum), which are baked, ground, and used as a coffee substitute and food additive. In the 21st century, inulin, an extract from chicory root, has been used in food manufacturing as a sweetener and source of dietary fiber.Chicory is grown as a forage crop for livestock. ""Chicory"" is also the common name in the United States for curly endive (Cichorium endivia); these two closely related species are often confused."
46,Chili powder,"Chili powder (also spelled chile, chilli, or, alternatively, powdered chili) is the dried, pulverized fruit of one or more varieties of chili pepper, sometimes with the addition of other spices (in which case it is also sometimes known as chili powder blend or chili seasoning mix). It is used as a spice (or spice blend) to add pungency (piquancy) and flavor to culinary dishes. In American English, the spelling is usually ""chili""; in British English, ""chilli"" (with two ""l""s) is used consistently.
Chili powder is used in many different cuisines, including American (particularly Tex-Mex), Chinese, Indian, Bangladeshi, Korean, Mexican, Portuguese, and Thai. A chili powder blend is the primary flavor in American chili con carne."
47,Chimayo pepper,"The Chimayó (or Chimayo) pepper is a New Mexico chile pepper landrace of the species Capsicum annuum. It is named after the town of Chimayó, New Mexico, where roughly 200 hectares (500 acres) of Chimayó peppers are harvested annually. It is considered one of the two best chiles in the state, the others being those grown in Hatch.  The pepper is so prized that powdered Chimayó pepper can cost as much as $45 per pound.  Chimayó chiles have a complex flavor described as sweet and smoky, and are extremely popular in New Mexican cuisine for making posole and carne adovada.The arid climate of the town of Chimayó greatly influences the appearance of the Chimayó pepper, giving it a twisted shape when dried. Its color can be compared to that of the Jalapeño, transitioning from green to red as the fruit matures. Chimayó peppers are of medium pungency, and have a heat level ranging from 4,000 to 6,000 on the Scoville scale. Chimayó pepper plants typically grow to a height of roughly 45 to 60 centimetres (18 to 24 in), while the fruits reach 10 to 15 cm (4 to 6 in) in length and 3–4 cm (1–1+3⁄4 in) wide.Chimayó peppers are commonly dried by being hung on ristras; once dried, they can be ground into chile powder or chile flakes.  The flavor is described as sweet, earthy, and smoky, without being too hot, and the fruit is also fleshier and drier  The pepper can also be used fresh for salsas, stir-frys, roasted, or stuffed."
48,Cinnamomum burmannii,"Cinnamomum burmannii (or Cinnamomum burmanni), also known as Indonesian cinnamon, Padang cassia, Batavia cassia, or korintje, is one of several plants in the genus Cinnamomum whose bark is sold as the spice cinnamon. The most common and cheapest type of cinnamon in the US is made from powdered C. burmannii. C. burmannii oil contains no eugenol, but higher amounts of coumarin than C. cassia and Ceylon cinnamon with 2.1 g/kg in an authenticated sample, and a mean of 5.0 g/kg in 8 samples tested. It is also sold as quills of one layer."
49,Cinnamomum cassia,"Cinnamomum cassia, called Chinese cassia or Chinese cinnamon, is an evergreen tree originating in southern China, and widely cultivated there and elsewhere in South and Southeast Asia (India, Indonesia, Laos, Malaysia, Thailand, and Vietnam). It is one of several species of Cinnamomum used primarily for their aromatic bark, which is used as a spice. The buds are also used as a spice, especially in India, and were used by the ancient Romans.
The tree grows to 10–15 m (33–49 ft) tall, with greyish bark and hard, elongated leaves that are 10–15 cm (3.9–5.9 in) long and reddish when young."
50,Cinnamomum osmophloeum,"Cinnamomum osmophloeum, commonly known as pseudocinnamomum or indigenous cinnamon, is a medium-sized evergreen tree in the genus Cinnamomum. It is native to broad-leaved forests of central and northern Taiwan.Cinnamaldehyde, an essential oil extracted from C. osmophloeum, has numerous commercial uses.  Also, it is a xanthine oxidase inhibitor, hence a potential drug for treatment of hyperuricemia and related medical conditions including gout."
51,Cinnamomum tenuifolium,"Cinnamomum tenuifolium, commonly known as Japanese cinnamon, is an evergreen tree in the genus Cinnamomum. It is a small- or medium-sized tree up to 15 m (49 ft) tall that occurs in Japan, Korea, Taiwan, and eastern China (Anhui, Fujian, Sichuan, Jiangsu, Jiangxi, and Zhejiang provinces). In China it is under second-class national protection."
